Year,Month,Day,Hour,Minute,DNI
2016,1,15,22,30,0
2016,1,15,23,0,0
2016,1,15,23,30,0
2016,1,16,0,0,0
2016,1,16,0,30,0
2016,1,16,1,0,0
2016,1,16,1,30,0
2016,1,16,2,0,0
2016,1,16,2,30,0
2016,1,16,3,0,0
2016,1,16,3,30,0
2016,1,16,4,0,0
2016,1,16,4,30,0
2016,1,16,5,0,0
2016,1,16,5,30,0
2016,1,16,6,0,0
2016,1,16,6,30,0
2016,1,16,7,0,0
2016,1,16,7,30,0
2016,1,16,8,0,385
2016,1,16,8,30,461
2016,1,16,9,0,50
2016,1,16,9,30,134
2016,1,16,10,0,217
2016,1,16,10,30,29
2016,1,16,11,0,17
2016,1,16,11,30,29
2016,1,16,12,0,106
2016,1,16,12,30,402
2016,1,16,13,0,195
2016,1,16,13,30,57
2016,1,16,14,0,134
2016,1,16,14,30,68
2016,1,16,15,0,0
2016,1,16,15,30,80
2016,1,16,16,0,68
2016,1,16,16,30,68
2016,1,16,17,0,62
2016,1,16,17,30,46
2016,1,16,18,0,6
2016,1,16,18,30,0
2016,1,16,19,0,0
2016,1,16,19,30,0
2016,1,16,20,0,0
2016,1,16,20,30,0
2016,1,16,21,0,0
2016,1,16,21,30,0
2016,1,16,22,0,0
2016,1,16,22,30,0
2016,1,16,23,0,0
2016,1,16,23,30,0
2016,1,17,0,0,0
2016,1,17,0,30,0
2016,1,17,1,0,0
2016,1,17,1,30,0
2016,1,17,2,0,0
2016,1,17,2,30,0
2016,1,17,3,0,0
2016,1,17,3,30,0
2016,1,17,4,0,0
2016,1,17,4,30,0
2016,1,17,5,0,0
2016,1,17,5,30,0
2016,1,17,6,0,0
2016,1,17,6,30,0
2016,1,17,7,0,0
2016,1,17,7,30,0
2016,1,17,8,0,491
2016,1,17,8,30,592
2016,1,17,9,0,922
2016,1,17,9,30,975
2016,1,17,10,0,1010
2016,1,17,10,30,1034
2016,1,17,11,0,1048
2016,1,17,11,30,1059
2016,1,17,12,0,1061
2016,1,17,12,30,1063
2016,1,17,13,0,1056
2016,1,17,13,30,1050
2016,1,17,14,0,1035
2016,1,17,14,30,1021
2016,1,17,15,0,997
2016,1,17,15,30,968
2016,1,17,16,0,929
2016,1,17,16,30,872
2016,1,17,17,0,789
2016,1,17,17,30,647
2016,1,17,18,0,379
2016,1,17,18,30,0
2016,1,17,19,0,0
2016,1,17,19,30,0
2016,1,17,20,0,0
2016,1,17,20,30,0
2016,1,17,21,0,0
2016,1,17,21,30,0
2016,1,17,22,0,0
2016,1,17,22,30,0
2016,1,17,23,0,0
2016,1,17,23,30,0
2016,1,18,0,0,0
2016,1,18,0,30,0
2016,1,18,1,0,0
2016,1,18,1,30,0
2016,1,18,2,0,0
2016,1,18,2,30,0
2016,1,18,3,0,0
2016,1,18,3,30,0
2016,1,18,4,0,0
2016,1,18,4,30,0
2016,1,18,5,0,0
2016,1,18,5,30,0
2016,1,18,6,0,0
2016,1,18,6,30,0
2016,1,18,7,0,0
2016,1,18,7,30,340
2016,1,18,8,0,637
2016,1,18,8,30,786
2016,1,18,9,0,869
2016,1,18,9,30,926
2016,1,18,10,0,962
2016,1,18,10,30,989
2016,1,18,11,0,1006
2016,1,18,11,30,1019
2016,1,18,12,0,490
2016,1,18,12,30,1024
2016,1,18,13,0,511
2016,1,18,13,30,1012
2016,1,18,14,0,479
2016,1,18,14,30,977
2016,1,18,15,0,381
2016,1,18,15,30,916
2016,1,18,16,0,688
2016,1,18,16,30,634
2016,1,18,17,0,537
2016,1,18,17,30,420
2016,1,18,18,0,186
2016,1,18,18,30,0
2016,1,18,19,0,0
2016,1,18,19,30,0
2016,1,18,20,0,0
2016,1,18,20,30,0
2016,1,18,21,0,0
2016,1,18,21,30,0
2016,1,18,22,0,0
2016,1,18,22,30,0
2016,1,18,23,0,0
2016,1,18,23,30,0
2016,1,19,0,0,0
2016,1,19,0,30,0
2016,1,19,1,0,0
2016,1,19,1,30,0
2016,1,19,2,0,0
2016,1,19,2,30,0
2016,1,19,3,0,0
2016,1,19,3,30,0
2016,1,19,4,0,0
2016,1,19,4,30,0
2016,1,19,5,0,0
2016,1,19,5,30,0
2016,1,19,6,0,0
2016,1,19,6,30,0
2016,1,19,7,0,0
2016,1,19,7,30,0
2016,1,19,8,0,437
2016,1,19,8,30,600
2016,1,19,9,0,582
2016,1,19,9,30,925
2016,1,19,10,0,606
2016,1,19,10,30,997
2016,1,19,11,0,1018
2016,1,19,11,30,425
2016,1,19,12,0,478
2016,1,19,12,30,173
2016,1,19,13,0,369
2016,1,19,13,30,296
2016,1,19,14,0,332
2016,1,19,14,30,329
2016,1,19,15,0,298
2016,1,19,15,30,261
2016,1,19,16,0,274
2016,1,19,16,30,273
2016,1,19,17,0,258
2016,1,19,17,30,218
2016,1,19,18,0,123
2016,1,19,18,30,0
2016,1,19,19,0,0
2016,1,19,19,30,0
2016,1,19,20,0,0
2016,1,19,20,30,0
2016,1,19,21,0,0
2016,1,19,21,30,0
2016,1,19,22,0,0
2016,1,19,22,30,0
2016,1,19,23,0,0
2016,1,19,23,30,0
2016,1,20,0,0,0
2016,1,20,0,30,0
2016,1,20,1,0,0
2016,1,20,1,30,0
2016,1,20,2,0,0
2016,1,20,2,30,0
2016,1,20,3,0,0
2016,1,20,3,30,0
2016,1,20,4,0,0
2016,1,20,4,30,0
2016,1,20,5,0,0
2016,1,20,5,30,0
2016,1,20,6,0,0
2016,1,20,6,30,0
2016,1,20,7,0,0
2016,1,20,7,30,0
2016,1,20,8,0,305
2016,1,20,8,30,395
2016,1,20,9,0,130
2016,1,20,9,30,12
2016,1,20,10,0,403
2016,1,20,10,30,542
2016,1,20,11,0,324
2016,1,20,11,30,441
2016,1,20,12,0,263
2016,1,20,12,30,103
2016,1,20,13,0,46
2016,1,20,13,30,102
2016,1,20,14,0,438
2016,1,20,14,30,331
2016,1,20,15,0,673
2016,1,20,15,30,540
2016,1,20,16,0,541
2016,1,20,16,30,491
2016,1,20,17,0,714
2016,1,20,17,30,565
2016,1,20,18,0,300
2016,1,20,18,30,0
2016,1,20,19,0,0
2016,1,20,19,30,0
2016,1,20,20,0,0
2016,1,20,20,30,0
2016,1,20,21,0,0
2016,1,20,21,30,0
2016,1,20,22,0,0
2016,1,20,22,30,0
2016,1,20,23,0,0
2016,1,20,23,30,0
2016,1,21,0,0,0
2016,1,21,0,30,0
2016,1,21,1,0,0
2016,1,21,1,30,0
2016,1,21,2,0,0
2016,1,21,2,30,0
2016,1,21,3,0,0
2016,1,21,3,30,0
2016,1,21,4,0,0
2016,1,21,4,30,0
2016,1,21,5,0,0
2016,1,21,5,30,0
2016,1,21,6,0,0
2016,1,21,6,30,0
2016,1,21,7,0,0
2016,1,21,7,30,342
2016,1,21,8,0,651
2016,1,21,8,30,800
2016,1,21,9,0,895
2016,1,21,9,30,951
2016,1,21,10,0,990
2016,1,21,10,30,1016
2016,1,21,11,0,1033
2016,1,21,11,30,1046
2016,1,21,12,0,1049
2016,1,21,12,30,1052
2016,1,21,13,0,1048
2016,1,21,13,30,1043
2016,1,21,14,0,1031
2016,1,21,14,30,1017
2016,1,21,15,0,992
2016,1,21,15,30,965
2016,1,21,16,0,921
2016,1,21,16,30,866
2016,1,21,17,0,775
2016,1,21,17,30,635
2016,1,21,18,0,361
2016,1,21,18,30,0
2016,1,21,19,0,0
2016,1,21,19,30,0
2016,1,21,20,0,0
2016,1,21,20,30,0
2016,1,21,21,0,0
2016,1,21,21,30,0
2016,1,21,22,0,0
2016,1,21,22,30,0
2016,1,21,23,0,0
2016,1,21,23,30,0
2016,1,22,0,0,0
2016,1,22,0,30,0
2016,1,22,1,0,0
2016,1,22,1,30,0
2016,1,22,2,0,0
2016,1,22,2,30,0
2016,1,22,3,0,0
2016,1,22,3,30,0
2016,1,22,4,0,0
2016,1,22,4,30,0
2016,1,22,5,0,0
2016,1,22,5,30,0
2016,1,22,6,0,0
2016,1,22,6,30,0
2016,1,22,7,0,0
2016,1,22,7,30,248
2016,1,22,8,0,586
2016,1,22,8,30,746
2016,1,22,9,0,851
2016,1,22,9,30,912
2016,1,22,10,0,957
2016,1,22,10,30,986
2016,1,22,11,0,1006
2016,1,22,11,30,1020
2016,1,22,12,0,1025
2016,1,22,12,30,1028
2016,1,22,13,0,1020
2016,1,22,13,30,1014
2016,1,22,14,0,993
2016,1,22,14,30,977
2016,1,22,15,0,943
2016,1,22,15,30,912
2016,1,22,16,0,855
2016,1,22,16,30,792
2016,1,22,17,0,689
2016,1,22,17,30,540
2016,1,22,18,0,286
2016,1,22,18,30,0
2016,1,22,19,0,0
2016,1,22,19,30,0
2016,1,22,20,0,0
2016,1,22,20,30,0
2016,1,22,21,0,0
2016,1,22,21,30,0
2016,1,22,22,0,0
2016,1,22,22,30,0
2016,1,22,23,0,0
2016,1,22,23,30,0
2016,1,23,0,0,0
2016,1,23,0,30,0
2016,1,23,1,0,0
2016,1,23,1,30,0
2016,1,23,2,0,0
2016,1,23,2,30,0
2016,1,23,3,0,0
2016,1,23,3,30,0
